year,month,day_endofweek,countyfips,initclaims_rate_regular
2020,1,4,16001,0.16
2020,1,4,16005,0.192
2020,1,4,16009,0.316
2020,1,4,16011,0.113
2020,1,4,16013,0.187
2020,1,4,16017,0.274
2020,1,4,16019,0.165
2020,1,4,16021,0.465
2020,1,4,16023,0.429
2020,1,4,16027,0.115
2020,1,4,16029,0.508
2020,1,4,16031,0.156
2020,1,4,16035,0.172
2020,1,4,16037,0.224
2020,1,4,16039,0.0779
2020,1,4,16041,0.0994
2020,1,4,16043,0.191
2020,1,4,16045,0.0722
2020,1,4,16047,0.073
2020,1,4,16049,0.198
2020,1,4,16051,0.0855
2020,1,4,16053,0.213
2020,1,4,16055,0.253
2020,1,4,16057,0.112
2020,1,4,16059,0.308
2020,1,4,16063,0.222
2020,1,4,16065,0.0684
2020,1,4,16067,0.114
2020,1,4,16069,0.142
2020,1,4,16073,0.166
2020,1,4,16075,0.0943
2020,1,4,16079,0.467
2020,1,4,16081,0.0906
2020,1,4,16083,0.186
2020,1,4,16085,0.18
2020,1,4,16087,0.13
2020,1,4,18001,0.116
2020,1,4,18003,0.106
2020,1,4,18005,0.0733
2020,1,4,18011,0.0439
2020,1,4,18015,0.107
2020,1,4,18017,0.144
2020,1,4,18019,0.0549
2020,1,4,18021,0.206
2020,1,4,18023,0.0871
2020,1,4,18025,0.472
2020,1,4,18029,0.081
2020,1,4,18031,0.179
2020,1,4,18033,0.123
2020,1,4,18035,0.189
2020,1,4,18037,0.125
2020,1,4,18039,0.202
2020,1,4,18043,0.0479
2020,1,4,18045,0.124
2020,1,4,18047,0.149
2020,1,4,18049,0.202
2020,1,4,18051,0.0973
2020,1,4,18053,0.129
2020,1,4,18055,0.211
2020,1,4,18057,0.0574
2020,1,4,18059,0.0791
2020,1,4,18061,0.167
2020,1,4,18063,0.0708
2020,1,4,18065,0.126
2020,1,4,18067,0.157
2020,1,4,18069,0.114
2020,1,4,18071,0.1
2020,1,4,18073,0.456
2020,1,4,18075,0.126
2020,1,4,18077,0.126
2020,1,4,18079,0.132
2020,1,4,18081,0.0636
2020,1,4,18083,0.102
2020,1,4,18085,0.139
2020,1,4,18087,0.194
2020,1,4,18089,0.172
2020,1,4,18091,0.227
2020,1,4,18093,0.198
2020,1,4,18095,0.212
2020,1,4,18097,0.0919
2020,1,4,18099,0.142
2020,1,4,18103,0.238
2020,1,4,18105,0.0739
2020,1,4,18107,0.0796
2020,1,4,18109,0.164
2020,1,4,18111,0.156
2020,1,4,18113,0.265
2020,1,4,18117,0.173
2020,1,4,18119,0.287
2020,1,4,18121,0.183
2020,1,4,18123,0.204
2020,1,4,18125,0.228
2020,1,4,18127,0.196
2020,1,4,18129,0.0804
2020,1,4,18131,0.167
2020,1,4,18133,0.207
2020,1,4,18135,0.176
2020,1,4,18137,0.112
2020,1,4,18139,0.133
2020,1,4,18141,0.144
2020,1,4,18145,0.0945
2020,1,4,18147,0.184
2020,1,4,18149,0.331
2020,1,4,18151,0.115
2020,1,4,18153,0.201
2020,1,4,18157,0.0615
2020,1,4,18159,0.118
2020,1,4,18163,0.116
2020,1,4,18167,0.142
2020,1,4,18169,0.146
2020,1,4,18173,0.114
2020,1,4,18175,0.174
2020,1,4,18177,0.12
2020,1,4,18179,0.152
2020,1,4,18181,0.14
2020,1,4,18183,0.0839
2020,1,4,19001,0.42
2020,1,4,19003,0.181
2020,1,4,19005,0.294
2020,1,4,19007,0.381
2020,1,4,19009,0.158
2020,1,4,19011,0.393
2020,1,4,19013,0.324
2020,1,4,19015,0.165
2020,1,4,19017,0.347
2020,1,4,19019,0.226
2020,1,4,19021,0.159
2020,1,4,19023,0.225
2020,1,4,19025,0.162
2020,1,4,19027,0.09
2020,1,4,19029,0.2
2020,1,4,19031,0.245
2020,1,4,19033,0.217
2020,1,4,19035,0.144
2020,1,4,19037,0.363
2020,1,4,19039,0.384
2020,1,4,19041,0.325
2020,1,4,19043,0.563
2020,1,4,19045,0.38
2020,1,4,19047,0.472
2020,1,4,19049,0.105
2020,1,4,19051,0.281
2020,1,4,19053,0.135
2020,1,4,19055,0.261
2020,1,4,19057,0.383
2020,1,4,19059,0.469
2020,1,4,19061,0.251
2020,1,4,19063,0.3
2020,1,4,19065,0.288
