year,month,day_endofweek,countyfips,initclaims_count_regular,initclaims_rate_regular
2020,1,11,6001,1624,0.192
2020,1,11,6003,3.03,0.55
2020,1,11,6005,56.6,0.38
2020,1,11,6007,439,0.442
2020,1,11,6009,80.6,0.376
2020,1,11,6011,233,2.12
2020,1,11,6013,1202,0.214
2020,1,11,6015,52.3,0.54
2020,1,11,6017,253,0.275
2020,1,11,6019,3287,0.729
2020,1,11,6021,94.7,0.729
2020,1,11,6023,255,0.407
2020,1,11,6025,753,1.06
2020,1,11,6027,24.2,0.277
2020,1,11,6029,2967,0.759
2020,1,11,6031,543,0.94
2020,1,11,6033,144,0.495
2020,1,11,6035,58.6,0.594
2020,1,11,6037,13268,0.259
2020,1,11,6039,384,0.619
2020,1,11,6041,177,0.126
2020,1,11,6043,45.5,0.597
2020,1,11,6045,168,0.432
2020,1,11,6047,1193,1.03
2020,1,11,6049,17.7,0.557
2020,1,11,6051,21.5,0.252
2020,1,11,6053,1586,0.713
2020,1,11,6055,172,0.232
2020,1,11,6057,132,0.272
2020,1,11,6059,2601,0.16
2020,1,11,6061,420,0.224
2020,1,11,6063,75.8,0.959
2020,1,11,6065,3383,0.306
2020,1,11,6067,2235,0.314
2020,1,11,6069,176,0.561
2020,1,11,6071,3275,0.338
2020,1,11,6073,3365,0.212
2020,1,11,6075,955,0.164
2020,1,11,6077,1769,0.541
2020,1,11,6079,273,0.194
2020,1,11,6081,502,0.109
2020,1,11,6083,637,0.292
2020,1,11,6085,1532,0.145
2020,1,11,6087,830,0.583
2020,1,11,6089,495,0.665
2020,1,11,6091,8.33,0.628
2020,1,11,6093,150,0.869
2020,1,11,6095,716,0.342
2020,1,11,6097,604,0.233
2020,1,11,6099,1447,0.594
2020,1,11,6101,350,0.765
2020,1,11,6103,146,0.569
2020,1,11,6105,37.4,0.796
2020,1,11,6107,1911,0.937
2020,1,11,6109,104,0.487
2020,1,11,6111,1149,0.271
2020,1,11,6113,392,0.361
2020,1,11,6115,214,0.713
2020,1,11,11001,706,0.172
2020,1,11,13001,33.9,0.364
2020,1,11,13003,71.7,1.53
2020,1,11,13005,19.2,0.386
2020,1,11,13007,2.95,0.253
2020,1,11,13009,57.5,0.33
2020,1,11,13011,69.7,0.725
2020,1,11,13013,97.7,0.242
2020,1,11,13015,667,1.32
2020,1,11,13017,87.9,1.64
2020,1,11,13019,39.8,0.532
2020,1,11,13021,324,0.477
2020,1,11,13023,34.4,0.759
2020,1,11,13025,16.7,0.23
2020,1,11,13027,40.3,0.583
2020,1,11,13029,36.3,0.199
2020,1,11,13031,254,0.696
2020,1,11,13033,155,1.7
2020,1,11,13035,33.9,0.316
2020,1,11,13037,18.7,0.836
2020,1,11,13039,22.1,0.106
2020,1,11,13043,31.9,0.575
2020,1,11,13045,223,0.405
2020,1,11,13047,150,0.448
2020,1,11,13049,10.8,0.226
2020,1,11,13051,294,0.211
2020,1,11,13053,2.46,0.123
2020,1,11,13055,30.9,0.3
2020,1,11,13057,224,0.165
2020,1,11,13059,125,0.212
2020,1,11,13061,5.4,0.614
2020,1,11,13063,683,0.495
2020,1,11,13065,8.35,0.315
2020,1,11,13067,797,0.187
2020,1,11,13069,308,1.63
2020,1,11,13071,56.5,0.264
2020,1,11,13073,161,0.214
2020,1,11,13075,27.5,0.344
2020,1,11,13077,355,0.476
2020,1,11,13079,29.5,0.526
2020,1,11,13081,90.4,0.958
2020,1,11,13083,14.2,0.173
2020,1,11,13085,17.2,0.14
2020,1,11,13087,48.1,0.417
2020,1,11,13089,988,0.247
2020,1,11,13091,38.8,0.548
2020,1,11,13093,46.6,0.92
2020,1,11,13095,174,0.455
2020,1,11,13097,213,0.291
2020,1,11,13099,15.7,0.359
2020,1,11,13101,2.46,0.129
2020,1,11,13103,59.4,0.192
2020,1,11,13105,201,2.62
2020,1,11,13107,121,1.46
2020,1,11,13109,20.6,0.424
2020,1,11,13111,36.3,0.316
2020,1,11,13113,106,0.183
2020,1,11,13115,596,1.35
2020,1,11,13117,115,0.0941
2020,1,11,13119,73.7,0.741
2020,1,11,13121,1510,0.271
2020,1,11,13123,49.1,0.414
2020,1,11,13125,4.91,0.386
2020,1,11,13127,86.9,0.221
2020,1,11,13129,404,1.44
2020,1,11,13131,19.2,0.183
2020,1,11,13133,28,0.399
2020,1,11,13135,846,0.173
2020,1,11,13137,407,2.13
2020,1,11,13139,324,0.317
2020,1,11,13141,20.6,0.843
2020,1,11,13143,27.5,0.219
2020,1,11,13145,60.4,0.363
2020,1,11,13147,103,0.908
2020,1,11,13149,41.2,0.786
2020,1,11,13151,343,0.297
2020,1,11,13153,366,0.521
2020,1,11,13155,32.4,0.974
2020,1,11,13157,89.4,0.245
2020,1,11,13159,32.4,0.467
2020,1,11,13161,30.4,0.503
2020,1,11,13163,80,1.22
2020,1,11,13165,69.7,2.22
2020,1,11,13167,19.6,0.487
2020,1,11,13169,30.4,0.222
2020,1,11,13171,25,0.304
2020,1,11,13173,9.82,0.262
2020,1,11,13175,111,0.58
2020,1,11,13177,55,0.374
2020,1,11,13179,54.5,0.209
2020,1,11,13181,24.1,0.677
2020,1,11,13183,14.7,0.181
2020,1,11,13185,203,0.396
2020,1,11,13187,29,0.173
2020,1,11,13189,104,1.17
2020,1,11,13191,10.3,0.167
2020,1,11,13193,88.4,1.88
2020,1,11,13195,43.7,0.329
2020,1,11,13197,17.7,0.535
2020,1,11,13199,82,0.92
2020,1,11,13201,10.8,0.393
2020,1,11,13205,28,0.331
2020,1,11,13207,38.8,0.299
2020,1,11,13209,36.8,0.967
2020,1,11,13211,26,0.282
2020,1,11,13213,485,3.13
2020,1,11,13215,594,0.767
2020,1,11,13217,167,0.321
2020,1,11,13219,15.7,0.0805
2020,1,11,13221,19.2,0.276
2020,1,11,13223,196,0.229
2020,1,11,13225,166,1.4
2020,1,11,13227,31.4,0.206
2020,1,11,13229,22.6,0.26
2020,1,11,13231,26.5,0.298
2020,1,11,13233,233,1.27
2020,1,11,13235,35.4,0.873
2020,1,11,13237,33.4,0.408
2020,1,11,13239,1.47,0.184
2020,1,11,13241,38.8,0.542
2020,1,11,13243,20.6,0.816
2020,1,11,13245,734,0.862
2020,1,11,13247,157,0.35
2020,1,11,13249,8.35,0.379
2020,1,11,13251,94.8,1.86
2020,1,11,13253,16.2,0.534
2020,1,11,13255,187,0.652
2020,1,11,13257,89.4,0.836
2020,1,11,13259,19.2,0.799
2020,1,11,13261,121,0.952
2020,1,11,13263,14.7,0.523
2020,1,11,13265,4.42,0.779
2020,1,11,13267,29.5,0.308
2020,1,11,13269,49.1,1.6
2020,1,11,13271,31.9,0.777
2020,1,11,13273,45.7,1.3
2020,1,11,13275,45.2,0.274
2020,1,11,13277,67.8,0.343
2020,1,11,13279,133,1.14
2020,1,11,13281,8.35,0.214
2020,1,11,13283,22.1,0.836
2020,1,11,13285,208,0.558
2020,1,11,13287,18.7,0.594
2020,1,11,13289,12.3,0.427
2020,1,11,13291,21.6,0.21
2020,1,11,13293,85.9,0.759
