FIPS,Hospitalizations,Cases,State,County,Years of Potential Life Lost Rate,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low Birthweight,% Smokers,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,Primary Care Physicians Rate,Dentist Rate,% With Annual Mammogram,% Vaccinated,High School Graduation Rate,% Some College,% Children in Poverty,Income Ratio,% Single-Parent Households,Social Association Rate,Violent Crime Rate,Injury Death Rate,Average Daily PM2.5,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,Life Expectancy,Age-Adjusted Death Rate,Child Mortality Rate,Infant Mortality Rate,% Frequent Mental Distress,HIV Prevalence Rate,% Food Insecure,% Limited Access to Healthy Foods,Drug Overdose Mortality Rate,Motor Vehicle Mortality Rate,% Insufficient Sleep,% Children Uninsured,% Disconnected Youth,Average Reading Performance,Average Math Performance,% Enrolled in Free or Reduced Lunch,Black/White Segregation Index,non-White/White Segregation Index,Homicide Rate,Suicide Rate (Age-Adjusted),Firearm Fatalities Rate,Juvenile Arrest Rate,% Homeowners,% Severe Housing Cost Burden,Population,% less than 18 years of age,% Black,% American Indian & Alaska Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Female,% Rural,internet_consumer,internet_nonconsumer,internet_all,internet_hhs,internet_ratio,covid_cases,internet_percent,%  Adults with Obesity,Heart Disease Death Rate,Hypertension Death Rate,% Adults 65 and Older,COPD Mortality Rate,% Diagnosed Diabetes,% Nonwhite,% households wo car,Number of Hospitals,% disabled,% Without Health Insurance,% Limited English Proficiency,% workers commuting by public transit,% Veterans in Civilian Adult Population,opioid death rate,% Below Poverty,Median Household Income,% No College Degree,Unemployment Rate,% Not in Labor Force,% Jobs in Leisure and Hospitality,% Part-time,% Self-Employed,Hospitalization Rate,Case Rate,Presence of Water Violation (dummy Y/N),Other Primary Care Provider Ratio (:1)
12041,80,1588,Florida,Gilchrist,8968.375038,21.12675716,4.763683703,4.847069001,7.669172932,21.25315772,7.9,35.9,22.43934117,18.57401773,40.74074074,259.3,36.90987125,39.45218,27.38826,41,31,93.41317365,43.56134035,23.8,4.077918929,34.70800723,5.072422927,322.5238961,114.4073129,8.2,12.54996003,74.90190159999999,54.4,77.43241115,422.0810149,75.63776387,0.0,15.02727785,122.4,14.7,0.269430926,0.0,29.71449324,35.97877083,7.567711098999999,24.07559573,3.415771866,3.4330934930000003,57.44281965,79.64297545,49.32394078,11.55563626,18.48938107,29.74590136,0.0,83.56627246,9.245585875,18256,20.28374233,5.41739702,0.684706398,0.580631025,0.120508326,6.102103418,85.79097283,1.5330470059999999,48.35122699,83.91876734,4.0,0.0,5.0,6.399,0.68,515,68.0,37.5,279.7,261.9,20.654,64.37,12.8,8.577916548,0.04938271599999999,0,21.0,16.1,1.489786515,0.1,10.311,27.38825592,15.0,46171.0,9.381367675,3.4,52.05341565,7.608085345,52.605415,13.49656614,438.2,8698.5,0,1521
12107,566,6374,Florida,Putnam,12710.03601,24.95260121,5.359801789,4.937744811,10.43956044,23.62047179,6.0,36.8,51.04082621,15.88497999,47.69230769,465.5,46.00274428,43.55875,26.96763,45,37,72.05673759,40.78827953,33.3,4.797537803,46.38973892,10.61744528,537.1134306,124.9759662,8.0,19.22724776,81.00633528,44.3,73.94896012,568.3880732000001,85.78372969,8.011145942,16.51728169,377.6,18.7,13.3103225,19.55398719,37.26147752,36.887939,6.458880961,11.29411765,2.946481745,2.88361581,63.74405456,42.74050689,36.82661899,9.02119982,21.67606253,23.89650342,42.5,73.02929522,15.00623842,74163,21.40555263,15.84482828,0.718687216,0.666100347,0.136186508,10.21803325,71.29026604,2.083424456,50.51575584,56.1629283,19.0,2.0,21.0,27.951,0.68,2160,68.0,38.9,327.8,304.1,23.718000000000004,78.65,14.6,20.05607014,0.07455905,1,18.0,18.1,2.550948203,0.5,12.677999999999999,13.48381268,22.4,41986.0,7.827534097000001,4.3,55.12324509,10.48101575,52.04079235,10.44920365,763.2,8594.6,1,1766
12123,97,2710,Florida,Taylor,10593.94636,23.83196099,4.855758904,4.745001708999999,9.772587585,23.78792935,6.6,34.6,68.06823217,17.69175131,28.57142857,389.3,48.69124683,36.64178,36.997640000000004,40,33,70.30303029999999,41.35915846,29.8,3.852044887,33.57907253,13.28264554,915.9636244,99.36227485,9.0,10.40424122,82.05329154,20.5,75.39922208,530.7700305,0.0,0.0,14.79790797,945.7,16.3,12.10733508,15.23670217,26.23043114,39.6032258,6.848389277000001,0.0,3.072026591,3.1971226280000002,65.35488405,47.75283231,42.37115455,8.956732584,18.71459458,27.09880223,31.57894737,81.49809679,8.600116414,21623,20.14984045,19.28039588,0.975812792,0.846321047,0.055496462,4.5044628410000005,72.43675716,0.7119126720000001,45.43772835,69.28223305,5.0,1.0,5.0,7.406000000000001,0.66,1344,66.0,35.5,366.3,389.1,20.979,64.85,11.8,25.34618518,0.068187956,2,22.7,14.2,1.6041326809999998,0.0,7.681,23.12352588,19.9,42987.0,5.633540373,3.6,54.56101601,9.412498052,60.55338259,6.022408963999999,448.6,12533.0,1,1201
12091,729,20298,Florida,Okaloosa,8033.687940000001,15.26624574,3.889858068,3.87553777,7.872827557999999,18.46803109,7.3,28.1,75.28066275,19.41648536,30.76923077,538.5,28.8364815,79.32207,82.98395,42,38,86.80037313,68.59590023,18.1,4.091829723,30.23872679,8.671232202,394.6779713,81.56290825,10.1,15.46493302,83.05718699,32.6,77.95804924,381.7693296,56.236393299999996,5.822798091,12.38178548,234.1,13.4,10.15244652,22.89792921,13.3766853,36.44081241,7.096774194,5.8059323979999995,3.4793819339999996,3.5732461669999998,45.31767825,33.5243131,25.93621325,4.1712244489999994,19.27831159,14.90187118,38.07486631,63.00272599,12.74096787,207269,22.23342613,9.611181605,0.726109549,3.25567258,0.230135717,9.694165553,73.14842065,1.541498813,49.34264169,12.09919147,76.0,7.0,83.0,76.574,0.99,5143,99.0,27.2,296.5,200.7,16.312,63.5,10.5,21.55905488,0.051231488,6,15.2,13.2,1.950828779,0.3,22.706,21.71091673,10.6,63520.0,19.60836106,2.7,40.58155785,17.7007852,39.06241657,11.65961554,351.7,9793.1,0,836
12013,59,1686,Florida,Calhoun,10649.09825,24.27885071,4.887984158,4.772104959,8.024691358,22.38488545,7.2,40.9,20.01367521,17.33881414,16.66666667,531.7,42.69414796,41.42788,54.84335,34,22,81.41025641,38.14300412,29.3,4.80779373,37.57319454,8.285576192999999,173.973556,78.63478969,9.7,11.63556531,81.33909287,34.1,74.24028139,598.0887673,0.0,0.0,15.16279028,220.4,14.2,8.957268248,0.0,24.53578299,40.10380071,7.751164338,0.0,3.2730717510000003,3.417395752,56.6367713,43.01317176,36.07622718,0.0,0.0,0.0,17.14285714,82.39683933,9.381612979,14587,20.04524577,13.00473024,1.329951327,0.802084047,0.137108384,5.744841297000001,77.24686365,0.812300551,45.41715226,67.51452992,3.0,0.0,3.0,4.581,0.62,629,62.0,36.9,370.5,288.9,18.929000000000002,79.33,14.6,19.70368319,0.067452521,1,22.0,14.9,0.680421422,0.0,9.04,34.27709604,20.3,41399.0,7.02204485,4.1,58.91380339,8.432470259,56.585692,11.85877466,404.5,11558.2,0,1621
12099,6820,141558,Florida,Palm Beach,6931.0624530000005,17.40119626,3.981098138,4.151675053,8.474824213,15.91610596,7.9,23.4,93.80797707,15.35251639,17.458432300000002,399.9,16.85955709,79.18975,73.42149,48,49,86.25327631,64.10019293,18.5,4.990778325,36.12583939,6.219624103999999,451.7893695,85.41280084,5.9,22.05644787,78.19991497,36.4,82.28698951,296.7771168,42.81835581,4.690496091,13.16516098,628.1,12.9,4.654373503,36.60614042,11.64810541,36.8763451,8.379715733,6.02215008,3.2114674310000004,3.3149969539999997,58.07507515,53.58587429,43.29798247,6.371785012,14.35051959,12.33832775,25.81039755,68.61145972,19.71301034,1485941,19.07585833,18.59488365,0.586497041,2.930870068,0.10922371800000001,22.91948334,54.08263181,6.802512361000001,51.49457482,1.042545681,530.0,48.0,578.0,543.591,0.97,46960,97.0,22.2,241.9,116.0,24.355,28.08,8.6,25.98264371,0.062692355,20,12.3,17.9,7.034635982999999,1.8,7.155,22.20814958,11.4,66621.0,22.62783187,3.3,39.69508191,14.52237902,40.43398101,14.59044718,459.0,9526.5,1,959
12111,1792,25708,Florida,St. Lucie,7702.500365000001,19.3188831,4.200390597,4.411463200000001,8.691540171,18.06928261,6.8,29.8,77.73957932,15.819490700000001,26.70157068,375.8,21.13615377,38.27678,38.302479999999996,42,42,91.47029539,54.31907298,18.5,4.206229568,35.31408341,5.64582496,298.6937195,80.35371313,7.0,20.01930236,78.93778354,38.6,80.26740215,352.4847432,46.53607147,5.024649223,14.0211609,596.5,14.8,12.96677611,27.83854917,13.75253994,35.37262666,7.030202117999999,5.694454282000001,3.061137418,3.045860727,64.22350547,33.64058545,31.01086171,5.424877345,15.14262107,13.39228552,30.67340067,73.19441491,16.85030881,321128,19.70989761,19.81857702,0.562081164,1.9814528790000001,0.107433796,19.54890262,56.68643033,3.824338646,51.11762288,3.3572243680000002,107.0,7.0,114.0,110.04299999999999,0.97,8189,97.0,31.1,267.5,197.7,24.651,46.57,9.6,26.77958448,0.051770671,6,15.7,17.9,4.364235594,0.3,10.12,8.719264592,10.5,57292.0,13.947226,3.9,43.70436753,12.77670777,43.59999128,12.20400453,558.0,8005.5,1,1226
12101,2639,40085,Florida,Pasco,8713.927784,18.3638906,4.19365907,4.703177995,8.243748204,18.62961317,7.6,29.9,86.34916946,17.60637103,21.47806005,281.6,21.78024463,58.5949,35.024,42,43,81.83041723,62.98898821,17.4,4.437589606,33.39590527,5.631198361,304.1957546,100.5903828,8.6,15.17776956,80.40548732,50.7,77.86203342,418.284779,46.61894338,5.578518369,14.12283375,232.2,12.7,8.259275806,30.23501544,16.96716127,35.44853675,5.493201527,10.63729279,3.3186667260000005,3.059579486,58.32014624,43.34824965,33.61497535,3.7071108660000003,18.93385359,13.74526969,23.62549801,72.00630437,13.30297988,539630,20.31966347,5.574560347,0.477734744,2.702407205,0.10414543300000001,15.79081964,73.83244075,1.8586385269999999,51.37297778,9.466383471,188.0,12.0,200.0,195.81799999999998,0.96,9444,96.0,31.6,296.9,200.1,22.647,59.59,10.1,12.38461945,0.056368669,10,16.2,14.8,1.928453473,0.4,11.448,13.342475400000001,11.3,55745.0,15.87690982,3.5,44.75340675,13.399758499999999,43.58517314,10.76258478,489.0,7428.2,0,1160
12039,418,5621,Florida,Gadsden,9926.231702,25.83346507,4.777326764,4.698826104,12.07259337,20.37359451,6.0,35.4,59.7684796,14.70561183,34.32835821,837.8,40.12614179999999,19.53507,21.78934,42,33,52.56410256,41.22784263,38.2,4.343558964,58.92393691,10.20164529,361.3650505,70.34669631,10.6,15.04293752,84.38443992,55.1,76.44986597,460.6114983,73.90800917,11.32473005,15.48934169,690.8,22.2,5.58381556,0.0,23.21909538,38.14307044,6.845677191,10.85180864,3.078940275,3.275389273,80.62995096,32.07444912,31.50578162,9.287638154,11.18961149,11.29021052,28.22222222,71.04215457,11.19738989,45894,22.00069726,55.12267399,0.58395433,0.729942912,0.13509391199999998,10.508999000000001,32.56199067,2.830232236,52.52102671,65.37972364,10.0,1.0,11.0,17.31,0.59,2882,59.0,43.2,307.0,264.0,18.703,43.85,18.0,58.49360019,0.11559792,2,20.1,15.4,2.043325527,0.3,9.527000000000001,10.89467033,19.7,42975.0,10.51289229,4.1,48.74397844,4.7478540769999995,50.20148683,7.101647535,910.8,12247.8,0,3530
12073,719,31247,Florida,Leon,6313.765993,15.800833800000001,4.0433827739999995,4.050914596,9.542020774,17.32757863,6.3,21.8,83.19811824,19.27241102,30.72289157,1151.3,11.440408900000001,86.46466,44.78602,40,41,90.03350084,78.6137931,20.1,5.2341552689999995,39.37753975,13.43474846,739.0414392000001,49.90019960000001,10.5,21.68121681,80.77432466,22.5,79.75883715,316.9182415,55.81026355,7.081484279,13.593924800000002,489.9,19.7,8.384124464,9.074034936,9.768301861,32.34254626,5.546357616,5.001515611,3.461827752,3.3949789530000003,41.92966143,41.67862868,36.68214956,5.681563327,11.38600558,10.34093149,39.75409836,53.05620007,18.89139649,292502,18.62277865,31.03055706,0.34221988200000003,3.757923023,0.069059357,6.580125947999999,56.344572,0.74465943,52.60134973,12.30947377,96.0,12.0,108.0,112.37299999999999,0.85,10814,85.0,31.3,274.1,226.0,13.892999999999999,38.13,8.4,38.26769686,0.063929948,5,11.4,11.7,1.1123115890000002,1.8,6.56,4.444414055,20.8,55081.0,25.93149579,3.1,35.72890015,12.52391743,46.56543781,7.7366378629999994,245.8,10682.7,0,760
