FIPS,"Hospitalization Rate per 100,000",Unemployment Initial Claims,"Hospitals per 100,000"
1001,NaN,46.9045,1.8
1003,NaN,49.7753,1.8
1005,NaN,55.9471,4
1007,NaN,57.6821,4.5
1009,NaN,26.8423,1.7
1011,NaN,51.8533,9.9
1013,NaN,65.2102,10.2
1015,NaN,69.563,3.5
1017,NaN,58.6162,3
1019,NaN,30.4689,3.8
1021,NaN,41.6662,2.3
1023,NaN,41.9216,7.8
1025,NaN,73.9116,8.4
1027,NaN,35.7932,7.5
1029,NaN,36.3476,0
1031,NaN,42.1371,1.9
1033,NaN,58.1659,3.7
1035,NaN,60.9882,8.1
1037,NaN,47.6119,0
1039,NaN,42.873,8.1
1041,NaN,48.1633,14.5
1043,NaN,39.8097,2.4
1045,NaN,42.4304,2
1047,NaN,85.865,2.6
1049,NaN,38.3019,1.4
1051,NaN,45.5529,2.4
1053,NaN,50.06,5.4
1055,NaN,58.4713,3.9
1057,NaN,43.1336,6.1
1059,NaN,44.8961,6.4
1061,NaN,37.5423,3.8
1063,NaN,80.1914,12.1
1065,NaN,85.677,6.8
1067,NaN,41.876,0
1069,NaN,48.614,4.8
1071,NaN,45.6454,1.9
1073,NaN,57.5691,2.1
1075,NaN,44.732,0
1077,NaN,47.7146,1.1
1079,NaN,35.6976,3
1081,NaN,38.4721,0.6
1083,NaN,33.3879,2.1
1085,NaN,89.093,0
1087,NaN,61.7287,5.4
1089,NaN,44.1375,1.9
1091,NaN,45.775,5.2
1093,NaN,48.2287,6.7
1095,NaN,48.1647,2.1
1097,NaN,65.1534,1.7
1099,NaN,67.9665,4.7
1101,NaN,69.0073,3.5
1103,NaN,46.1521,3.4
1105,NaN,79.497,0
1107,NaN,46.956,5
1109,NaN,43.863,3
1111,NaN,36.1338,4.4
1113,NaN,47.586,3.5
1115,NaN,41.989,1.1
1117,NaN,24.4406,1.4
1119,NaN,49.0636,7.9
1121,NaN,59.937,2.5
1123,NaN,48.7155,4.9
1125,NaN,51.8914,3.4
1127,NaN,58.0937,1.6
1129,NaN,53.5671,6.1
1131,NaN,113.245,9.4
1133,NaN,48.2425,4.2
2013,NaN,None,0
2016,NaN,None,17.5
2020,NaN,None,3.1
2050,NaN,None,5.5
2060,NaN,None,0
2068,NaN,None,0
2070,NaN,None,20
2090,NaN,None,3
2100,NaN,None,0
2105,NaN,None,0
2110,NaN,None,3.1
2122,NaN,None,5.1
2130,NaN,None,7.2
2150,NaN,None,7.5
2158,NaN,None,0
2164,NaN,None,0
2170,NaN,None,0.9
2180,NaN,None,10
2185,NaN,None,10.1
2188,NaN,None,13
2195,NaN,None,0
2198,NaN,None,0
2220,NaN,None,23.1
2230,NaN,None,0
2240,NaN,None,0
2261,NaN,None,32.7
2275,NaN,None,0
2282,NaN,None,0
2290,NaN,None,0
4001,NaN,14.7108,5.6
4003,NaN,14.0977,7.1
4005,NaN,17.4486,3.5
4007,NaN,14.1452,7.4
4009,NaN,12.8411,2.6
4011,NaN,10.5556,0
4012,NaN,10.8009,9.5
4013,NaN,18.3214,1.8
4015,NaN,14.3481,2.4
4017,NaN,16.3087,5.4
4019,NaN,17.8058,2
4021,NaN,17.2105,1.6
4023,NaN,23.0103,2.2
4025,NaN,15.6853,3
4027,NaN,30.5901,1.4
5001,NaN,None,11.3
5003,NaN,None,5
5005,NaN,None,2.4
5007,NaN,None,1.8
5009,NaN,None,2.7
5011,NaN,None,9.2
5013,NaN,None,0
5015,NaN,None,7.1
5017,NaN,None,19.2
5019,NaN,None,4.5
5021,NaN,None,6.7
5023,NaN,None,4
5025,NaN,None,0
5027,NaN,None,4.2
5029,NaN,None,4.8
5031,NaN,None,5.5
5033,NaN,None,1.6
5035,NaN,None,6.2
5037,NaN,None,6
5039,NaN,None,13.9
5041,NaN,None,17.4
5043,NaN,None,5.5
5045,NaN,None,3.2
5047,NaN,None,5.6
5049,NaN,None,8.2
5051,NaN,None,6.1
5053,NaN,None,0
5055,NaN,None,2.2
5057,NaN,None,4.6
5059,NaN,None,5.9
5061,NaN,None,7.5
5063,NaN,None,2.7
5065,NaN,None,7.4
5067,NaN,None,5.9
5069,NaN,None,2.9
5071,NaN,None,3.7
5073,NaN,None,0
5075,NaN,None,6.1
5077,NaN,None,0
5079,NaN,None,0
5081,NaN,None,8.1
5083,NaN,None,9.2
5085,NaN,None,0
5087,NaN,None,0
5089,NaN,None,0
